OrganisasjonsNummer;BrregNavn;AntallAnsatte;Kode;Kode;Slettedato;Konkurs
823450982;DEVOLD CONSULTING AS;13;69.201;AS;;False
814232662;DF RENTAL AS;6;09.109;AS;;False
811880132;DIAMOND ROAD MUSIC AS;1;90.011;AS;;False
815070542;DIN BUSSTUR AS;7;49.392;AS;;False
815835662;DIN KONFERANSEPARTNER AS;3;70.220;AS;;False
823441142;Dokka Farge Og Miljø AS;15;47.523;AS;;False
816492882;DONKEYBOY MUSIC GROUP AS;0;59.200;AS;;False
822585582;DR KYSTFISKE AS;0;03.111;AS;;False
823485352;Drabløs Bygg;0;41.200;ENK;;False
812184032;DREVFJELL AS;1;62.010;AS;;False
815797132;Drift Snph AS;0;55.101;AS;;False
817400612;DYRLEGEN PÅ NESODDEN AS;1;75.000;AS;;False
814835022;DYRUD MASKIN OG UTEMILJØ AS;12;43.120;AS;;False
810463902;E Berentsen AS;0;68.209;AS;;False
822695302;E&C TØMRERTJENESTER AS;2;41.200;AS;;False
817993362;EAPARTNER AS;0;43.210;AS;;False
814934942;EATS 3 AS;0;68.209;AS;;False
823633882;EBUTIKKEN UTVIKLING AS;0;62.010;AS;;False
812830732;ECIT OS AS;14;69.201;AS;;False
821889472;ECO STOR AS;17;72.190;AS;;False
811903922;ECONOMICA AS;0;70.220;AS;;False
822904882;ED SOLUTIONS AS;3;70.220;AS;;False
818770472;EFFEE AS;1;28.910;AS;;False
818340532;EIDE LEGESENTER AS;0;86.211;AS;;False
821553962;EIERSEKSJONSSAMEIET EPLEHAGEN;0;N/A;ESEK;;False
820184602;Eierseksjonssameiet Sem Hageby;0;N/A;ESEK;;False
817110592;EIK ENTER AS;2;79.903;AS;;False
822168132;ELDØY AS;0;85.599;AS;;False
816214882;ELVEPARKEN EIENDOM AS;0;41.109;AS;;False
818297572;ELVFJORDEN HOLDING AS;0;68.209;AS;;False
814084272;ELVIS ELEKTRO AS;14;43.210;AS;;False
818983662;EMS-FEHN-GROUP SCANDINAVIA AS;42;42.220;AS;;False
818858892;EMTUNGA HOLDCO AS;0;68.209;AS;;False
823256272;Endretta AS;0;93.190;AS;;False
816729432;ENGINEER.IT AS;0;62.010;AS;;False
818501072;EPO INVEST AS;0;70.220;AS;;True
819849862;ERM EIENDOM AS;0;00.000;AS;;False
823073232;ESPEN SIMENSEN HOLDING AS;0;62.010;AS;;False
818609582;ESSENS VIGDIS DAGSPA AS;18;96.020;AS;;False
812172352;EVENES BYGDESERVICE AS;0;43.320;AS;;False
812555472;EVENT & HAPPENINGS AS;1;90.020;AS;;False
815497732;EVJA PROPERTY AS;0;68.100;AS;;False
822403972;EVO PARTNERS AS;0;70.220;AS;;False
815274032;Fagerlia Hytteforening;0;68.320;FLI;;False
820884892;FAIIR REVISJON DA;0;69.202;DA;;False
817677282;FAUN AS;0;68.100;AS;;False
820801482;FAYE-LUND GRAPHICS;0;62.010;ENK;;False
815346572;FAZENDA UTVIKLING AS;4;68.209;AS;;False
812276212;Feel Free Production AS;16;31.090;AS;;False
821710022;FENNE MASKIN;0;43.120;ENK;;False
812977652;FINN ARNE SIVERTSEN;0;70.220;ENK;;False
814213242;FISKUMPARKEN AS;0;41.109;AS;;False
812467492;FIT4FUN AS;0;46.389;AS;;False
820365232;FJELLHAMMERVEIEN 11C AS;0;68.209;AS;;False
816114462;FJORD & FJELL HOTEL ULVIK AS;0;41.109;AS;;False
823169442;FLIK EIENDOM AS;2;55.102;AS;;False
821408172;FLORØ MOTE AS;4;47.710;AS;;False
820067592;FNP C3-2 AS;0;68.209;AS;;False
820072332;FNP FELT B VEST AS;0;68.209;AS;;False
822712452;FOCUS KAFE AS;13;56.101;AS;;False
812164872;FOLKETS HUS NARVIK AS;0;68.209;AS;;False
820404122;FORENINGEN FORTELLINGENS KRAFT;0;94.991;FLI;;False
821532752;FORENINGSGATEN 1 AS;0;68.209;AS;;False
813561212;FORNEBU BUTIKKDRIFT AS;0;47.593;AS;;False
